ROW_ID,Year,Month,Day,Sample Week,Crop,Treatment,Block,Plot,Air_Temperature,Ground_Temperature,Soil_Temperature,Humidity,Egg_Start,Not_Eaten,Eaten,Proportion_Eaten,Abundance,Richness,Lasius_neoniger,Solenopsis_molesta,Formica_montana,Formica_rubicunda,Formica_subaenescens,Myrmica_americana,Temnothorax_ambiguus
1,2021,June,4,1,Soy,Till,a,1,24.1,27.5,18.9,54,47,42,5,0.11,0,0,,,,,,,
2,2021,June,4,1,Soy,Till,a,2,24.3,30.2,20.3,54,51,37,14,0.27,0,0,,,,,,,
3,2021,June,4,1,Soy,No Till,a,1,25.9,29.3,20.4,53.8,70,68,2,0.03,1,1,1,,,,,,
4,2021,June,4,1,Soy,No Till,a,2,25.4,27.3,19.4,56.1,58,58,0,0,0,0,,,,,,,
5,2021,June,4,1,Corn,Till,a,1,24,28.5,20.8,54.9,56,17,39,0.7,0,0,,,,,,,
6,2021,June,4,1,Corn,Till,a,2,25.5,27.6,21,53.8,77,42,35,0.45,0,0,,,,,,,
7,2021,June,4,1,Corn,No Till,a,1,23.6,27.5,19.6,56.7,69,40,29,0.42,0,0,,,,,,,
8,2021,June,4,1,Corn,No Till,a,2,25.4,28,20.5,54.1,49,21,28,0.57,0,0,,,,,,,
9,2021,June,4,1,Soy,Till,b,1,25.7,25.8,19.7,51.8,61,51,10,0.16,0,0,,,,,,,
10,2021,June,4,1,Soy,Till,b,2,24.5,29.5,20.6,53,70,60,10,0.14,0,0,,,,,,,
11,2021,June,4,1,Soy,No Till,b,1,27.2,28.8,19,50.5,55,52,3,0.05,0,0,,,,,,,
12,2021,June,4,1,Soy,No Till,b,2,25,27.4,18.9,54.5,57,49,8,0.14,0,0,,,,,,,
13,2021,June,4,1,Corn,Till,b,1,26.3,28,21.5,55.6,53,30,23,0.43,0,0,,,,,,,
14,2021,June,4,1,Corn,Till,b,2,24.8,30,20.8,52.5,75,31,44,0.59,0,0,,,,,,,
15,2021,June,4,1,Corn,No Till,b,1,25.5,29.8,21.1,55.8,74,9,65,0.88,17,1,17,,,,,,
16,2021,June,4,1,Corn,No Till,b,2,24.7,29.5,20.8,54.9,84,35,49,0.58,0,0,,,,,,,
17,2021,June,4,1,Soy,Till,c,1,25.2,30.9,20.6,52.3,59,59,0,0,0,0,,,,,,,
18,2021,June,4,1,Soy,Till,c,2,26.6,27.9,20.1,51.6,49,46,3,0.06,0,0,,,,,,,
19,2021,June,4,1,Soy,No Till,c,1,25.4,30.3,19.3,51.8,66,66,0,0,0,0,,,,,,,
20,2021,June,4,1,Soy,No Till,c,2,25.9,29.3,19.8,55,60,60,0,0,0,0,,,,,,,
21,2021,June,4,1,Corn,Till,c,1,23.7,29.5,21.3,55.7,54,27,27,0.5,8,1,8,,,,,,
22,2021,June,4,1,Corn,Till,c,2,25.1,28.3,20.5,54,43,10,33,0.77,0,0,,,,,,,
23,2021,June,4,1,Corn,No Till,c,1,24,29.8,21,55.3,76,45,31,0.41,0,0,,,,,,,
24,2021,June,4,1,Corn,No Till,c,2,25.6,28.8,21,56,74,49,25,0.34,5,1,5,,,,,,
25,2021,June,4,1,Soy,Till,d,1,29.4,34.3,20.7,43,67,43,24,0.36,1,1,1,,,,,,
26,2021,June,4,1,Soy,Till,d,2,27.1,33.9,21.3,50.7,74,52,22,0.3,0,0,,,,,,,
27,2021,June,4,1,Soy,No Till,d,1,26.2,27.5,19.5,53.6,64,45,19,0.3,0,0,,,,,,,
28,2021,June,4,1,Soy,No Till,d,2,25.5,28.5,19.6,52.7,60,32,28,0.47,0,0,,,,,,,
29,2021,June,4,1,Corn,Till,d,1,28,33,21.2,51.3,76,22,54,0.71,0,0,,,,,,,
30,2021,June,4,1,Corn,Till,d,2,27.3,35.7,21.8,48.3,75,68,7,0.09,1,1,1,,,,,,
31,2021,June,4,1,Corn,No Till,d,1,28,35.5,21.2,53.8,71,45,26,0.37,0,0,,,,,,,
32,2021,June,4,1,Corn,No Till,d,2,27.7,34.6,22.2,49.8,46,43,3,0.07,0,0,,,,,,,
33,2021,June,7,2,Soy,Till,a,1,25.7,28,24.6,60.3,50,50,0,0,0,0,,,,,,,
34,2021,June,7,2,Soy,Till,a,2,26.4,28.5,24.8,60.6,58,49,9,0.16,0,0,,,,,,,
35,2021,June,7,2,Soy,No Till,a,1,25.9,27,23.9,61.6,57,39,18,0.32,40,2,2,38,,,,,
36,2021,June,7,2,Soy,No Till,a,2,25.8,27,24,63.1,62,32,30,0.48,50,1,50,,,,,,
37,2021,June,7,2,Corn,Till,a,1,25.7,27.3,24.8,61,52,35,17,0.33,3,1,3,,,,,,
38,2021,June,7,2,Corn,Till,a,2,26.1,27.9,24.4,59.4,71,6,65,0.92,5,1,5,,,,,,
39,2021,June,7,2,Corn,No Till,a,1,25.9,27.5,24.8,62.7,54,37,17,0.31,3,1,3,,,,,,
40,2021,June,7,2,Corn,No Till,a,2,25.9,27.5,24.4,62.5,57,20,37,0.65,58,1,58,,,,,,
41,2021,June,7,2,Soy,Till,b,1,25.6,28.2,24.3,61.2,61,17,44,0.72,2,1,2,,,,,,
42,2021,June,7,2,Soy,Till,b,2,26.1,28.1,24.7,62.4,61,54,7,0.11,0,0,,,,,,,
43,2021,June,7,2,Soy,No Till,b,1,26.1,27.2,23.4,59.2,51,42,9,0.18,0,0,,,,,,,
44,2021,June,7,2,Soy,No Till,b,2,26.3,26.3,23.2,60.3,58,34,24,0.41,1,1,1,,,,,,
45,2021,June,7,2,Corn,Till,b,1,26.1,30.3,24.5,62.1,67,56,11,0.16,0,0,,,,,,,
46,2021,June,7,2,Corn,Till,b,2,26.6,30.8,24.8,60.7,92,7,85,0.92,5,1,5,,,,,,
47,2021,June,7,2,Corn,No Till,b,1,26.5,29.7,25.3,60.8,70,17,53,0.76,11,1,11,,,,,,
48,2021,June,7,2,Corn,No Till,b,2,27,30.5,24.8,61.2,65,16,49,0.75,0,0,,,,,,,
49,2021,June,7,2,Soy,Till,c,1,26.5,26.2,24.1,60.3,64,60,4,0.06,1,1,1,,,,,,
50,2021,June,7,2,Soy,Till,c,2,27.5,26,23.8,59.3,89,62,27,0.3,0,0,,,,,,,
51,2021,June,7,2,Soy,No Till,c,1,25.5,26.2,23.5,58.3,65,61,4,0.06,0,0,,,,,,,
52,2021,June,7,2,Soy,No Till,c,2,27.1,27.1,23.8,66.1,57,47,10,0.18,0,0,,,,,,,
53,2021,June,7,2,Corn,Till,c,1,26.4,27.6,24.8,56.7,79,39,40,0.51,29,1,29,,,,,,
54,2021,June,7,2,Corn,Till,c,2,27.4,27.6,24.4,60.4,55,1,54,0.98,1,1,1,,,,,,
55,2021,June,7,2,Corn,No Till,c,1,26.3,26.2,24.7,60.1,80,70,10,0.13,9,1,9,,,,,,
56,2021,June,7,2,Corn,No Till,c,2,26.4,27.7,24.9,59,64,51,13,0.2,55,1,55,,,,,,
57,2021,June,7,2,Soy,Till,d,1,26.9,28.5,24.5,60.5,52,52,0,0,0,0,,,,,,,
58,2021,June,7,2,Soy,Till,d,2,25.7,29.1,24.2,60.1,41,33,8,0.2,0,0,,,,,,,
59,2021,June,7,2,Soy,No Till,d,1,26.8,26.3,23.7,60.3,58,56,2,0.03,0,0,,,,,,,
60,2021,June,7,2,Soy,No Till,d,2,25.7,26.1,23.5,64.1,76,61,15,0.2,0,0,,,,,,,
61,2021,June,7,2,Corn,Till,d,1,27,30,24.7,61,75,0,75,1,1,1,1,,,,,,
62,2021,June,7,2,Corn,Till,d,2,25.9,29.1,24.6,60.8,54,40,14,0.26,38,1,38,,,,,,
63,2021,June,7,2,Corn,No Till,d,1,27.9,31.4,24.7,58.4,54,36,18,0.33,0,0,,,,,,,
64,2021,June,7,2,Corn,No Till,d,2,27,31.3,24.8,63.7,61,43,18,0.3,21,2,20,,1,,,,
65,2021,June,14,3,Soy,Till,a,1,25.2,27.7,22.8,45.8,55,3,52,0.95,0,0,,,,,,,
66,2021,June,14,3,Soy,Till,a,2,24.6,28.8,23.3,45.6,44,40,4,0.09,0,0,,,,,,,
67,2021,June,14,3,Soy,No Till,a,1,25,27.3,22.1,46.1,73,61,12,0.16,5,1,5,,,,,,
68,2021,June,14,3,Soy,No Till,a,2,24.2,26,22.4,47.2,66,11,55,0.83,49,1,49,,,,,,
69,2021,June,14,3,Corn,Till,a,1,25.2,29.2,23.5,47.5,61,57,4,0.07,1,1,1,,,,,,
70,2021,June,14,3,Corn,Till,a,2,24.6,30,23.2,50.1,70,68,2,0.03,8,1,8,,,,,,
71,2021,June,14,3,Corn,No Till,a,1,25.4,28,23.1,49.5,57,57,0,0,1,1,1,,,,,,
72,2021,June,14,3,Corn,No Till,a,2,25.2,28.3,23.4,46.2,66,40,26,0.39,19,1,19,,,,,,
73,2021,June,14,3,Soy,Till,b,1,22.5,28.6,23.1,50.7,64,64,0,0,2,1,2,,,,,,
74,2021,June,14,3,Soy,Till,b,2,23.8,29.2,23.2,49.3,69,69,0,0,0,0,,,,,,,
75,2021,June,14,3,Soy,No Till,b,1,23.3,25,21,51,69,49,20,0.29,0,0,,,,,,,
76,2021,June,14,3,Soy,No Till,b,2,23.1,23.5,20.9,50.1,65,37,28,0.43,0,0,,,,,,,
77,2021,June,14,3,Corn,Till,b,1,22.9,25.1,23.3,54.6,64,56,8,0.13,0,0,,,,,,,
78,2021,June,14,3,Corn,Till,b,2,23.9,28,23.1,51.1,70,6,64,0.91,52,1,52,,,,,,
79,2021,June,14,3,Corn,No Till,b,1,24,25.9,23,48.2,50,21,29,0.58,25,1,25,,,,,,
80,2021,June,14,3,Corn,No Till,b,2,24.3,27.4,23.1,48.2,70,61,9,0.13,7,1,7,,,,,,
81,2021,June,14,3,Soy,Till,c,1,24.1,27.1,22.9,45.4,55,50,5,0.09,3,1,3,,,,,,
82,2021,June,14,3,Soy,Till,c,2,26.6,26.3,22.3,45.4,71,69,2,0.03,2,1,2,,,,,,
83,2021,June,14,3,Soy,No Till,c,1,25.4,26.1,21.1,47.7,45,25,20,0.44,0,0,,,,,,,
84,2021,June,14,3,Soy,No Till,c,2,25.2,25.8,21.5,50.8,69,56,13,0.19,0,0,,,,,,,
85,2021,June,14,3,Corn,Till,c,1,23.3,28,22.9,49.7,49,5,44,0.9,10,1,10,,,,,,
86,2021,June,14,3,Corn,Till,c,2,23.8,22.8,23.3,51,74,66,8,0.11,1,1,1,,,,,,
87,2021,June,14,3,Corn,No Till,c,1,23.4,25,22.9,48.8,75,73,2,0.03,2,1,2,,,,,,
88,2021,June,14,3,Corn,No Till,c,2,25.8,25.9,23.2,49.9,65,48,17,0.26,9,1,9,,,,,,
89,2021,June,14,3,Soy,Till,d,1,25.3,27.3,23.1,44.6,69,57,12,0.17,0,0,,,,,,,
90,2021,June,14,3,Soy,Till,d,2,22.9,28.6,23.5,45.7,65,59,6,0.09,0,0,,,,,,,
91,2021,June,14,3,Soy,No Till,d,1,25.6,27.5,21.5,45.2,58,49,9,0.16,0,0,,,,,,,
92,2021,June,14,3,Soy,No Till,d,2,24,27.3,22.3,49.5,60,48,12,0.2,0,0,,,,,,,
93,2021,June,14,3,Corn,Till,d,1,23.9,28.2,23.7,48.6,67,1,66,0.99,1,1,1,,,,,,
94,2021,June,14,3,Corn,Till,d,2,24.1,28,23.4,46.6,49,44,5,0.1,31,1,31,,,,,,
95,2021,June,14,3,Corn,No Till,d,1,25.4,29.3,23.4,46,67,13,54,0.81,0,0,,,,,,,
96,2021,June,14,3,Corn,No Till,d,2,23.4,28.7,23.6,45.6,52,6,46,0.88,13,1,13,,,,,,
97,2021,June,21,4,Soy,Till,a,1,17.8,21.5,18.5,49.3,68,59,9,0.13,0,0,,,,,,,
98,2021,June,21,4,Soy,Till,a,2,19.4,23.5,19.6,50.8,91,88,3,0.03,0,0,,,,,,,
99,2021,June,21,4,Soy,No Till,a,1,17.8,21.7,17.9,48.5,67,35,32,0.48,38,2,8,30,,,,,
